Sample,BPD24,TRP24
CTL0252,0.015155473,0.035915089
CTL0255,0.019146029,0.035311629
CTL0256,0.219715571,0.236561545
CTL0257,0.049521511,0.038284789
CTL0258,0.331654332,0.23955045
CTL0259,0.308978862,0.234675167
CTL0260,0.034406287,0.040576977
CTL0261,0.004055423,0.009779074
CTL0262,0.167477494,0.127107004
CTL0263,0.027668712,0.025111827
CTL0264,0.058531263,0.082736553
CTL0265,0.074738436,0.059839532
CTL0266,0.11851974,0.096132947
CTL0267,0.133293047,0.123863477
CTL0268,0.170209025,0.192323411
CTL0269,0.072373941,0.062611609
CTL0270,0.019288948,0.022531657
CTL0271,0.412749155,0.2045483
CTL0272,0.330200429,0.273961231
CTL0273,0.032961645,0.05334997
CTL0274,0.368389219,0.368207086
CTL0275,0.141535235,0.136757532
CTL0276,0.039374278,0.045830099
CTL0277,0.340529592,0.29428527
CTL0278,0.115695106,0.119001527
CTL0279,0.068019456,0.065548007
CTL0280,0.486563832,0.425234294
CTL0281,0.112968495,0.138477186
CTL0282,0.126690925,0.130329771
CTL0283,0.032136252,0.025656957
CTL0284,0.107727779,0.081974701
CTL0285,0.036251093,0.031990615
CTL0286,0.02680297,0.026694756
CTL0287,0.107770147,0.104905599
CTL0288,0.058747069,0.046380278
CTL0289,0.050769317,0.056814192
CTL0290,0.039230533,0.031678503
CTL0291,0.005545981,0.010192981
CTL0292,0.013795642,0.014729425
CTL0293,0.019110315,0.019237394
CTL0294,0.117956497,0.107181503
CTL0295,4.70E-05,0.000108705
CTL0296,0.102093859,0.115760826
CTL0297,0.113581268,0.102506598
CTL0298,0.050850556,0.030214779
CTL0299,0.407561727,0.416820426
CTL0300,0.447750501,0.856369105
CTL0301,0.300352236,0.170162486
CTL0302,0.001354437,0.003309404
CTL0303,0.014875431,0.012512923
CTL0304,0.041019672,0.04011444
CTL0305,0.03451252,0.049440039
CTL0306,0.002816738,0.003080139
CTL0307,0.005082509,0.006739212
CTL0308,0.05995816,0.059912812
CTL0309,0.139218478,0.155953713
CTL0310,0.039721106,0.039182375
CTL0311,0.045093165,0.054364541
CTL0312,0.011368727,0.018701818
CTL0313,0.029341374,0.0677072
CTL0314,0.041382999,0.056428546
CTL0315,0.119212649,0.172241164
CTL0316,0.008913001,0.009006014
CTL0317,0.028509431,0.017105176
CTL0318,0.275901183,0.211550296
CTL0319,0.239647547,0.248541413
CTL0320,0.3090883,0.294746688
CTL0321,0.341359436,0.325398509
CTL0322,0.173227707,0.105668809
CTL0323,0.240788982,0.146914844
CTL0324,0.145870469,0.09288698
CTL0325,0.113949004,0.082526628
CTL0326,0.060301629,0.041906442
CTL0327,0.068647672,0.05369089
CTL0328,0.274914159,0.258540266
CTL0329,0.004180576,0.004695094
CTL0330,0.043196162,0.045348874
CTL0331,0.168090867,0.150104224
CTL0332,0.03750883,0.044892418
CTL0333,0.012795379,0.008897728
CTL0334,0.041016292,0.046520065
CTL0335,0.001377665,0.002198537
CTL0336,0.021936598,0.031880166
CTL0337,0.003538539,0.005694475
CTL0338,0.005266119,0.004917848
CTL0338A,0.001109015,0.001136498
CTL0339,0.018196667,0.017520567
CTL0340,0.079345384,0.093872172
CTL0341,0.091146783,0.183862911
CTL0342,0.002718194,0.004033535
CTL0343,0.00199311,0.002066561
CTL0344,0.039207775,0.058527519
CTL0345,0.094587354,0.11219522
CTL0346,0.024188018,0.023588248
CTL0347,0.074970569,0.04673514
CTL0348,0.029387138,0.023648416
CTL0349,0.13162957,0.092903794
CTL0350,0.044509061,0.04210053
CTL0351,0.429829354,0.417389906
CTL0352,0.20260873,0.158823311
CTL0353,0.719729012,0.684710068
CTL0354,0.117937415,0.09526284
CTL0355,0.021337354,0.012474247
CTL0356,0.017877829,0.019073916
CTL0357,0.026640108,0.026574404
CTL0358,0.028531466,0.025679227
CTL0359,0.11656933,0.093982596
CTL0360,0.01203365,0.033132154
CTL0361,0.008126099,0.007573415
CTL0362,0.020654591,0.021877543
CTL0363,0.02702758,0.036058506
CTL0364,0.050159829,0.051536779
CTL0366,0.824317357,0.457625441
CTL0367,0.28513022,0.20195727
CTL0368,0.439341779,0.296767118
CTL0369,0.113884628,0.0643134
CTL0370,0.395051623,0.303295333
CTL0371,0.098432957,0.049394554
CTL0372,0.325672677,0.130526942
CTL0373,0.155871952,0.080363662
CTL0374,0.004526746,0.00125617
CTL0375,0.000801507,0.000337871
CTL0376,0.080806169,0.059385498
CTL0377,0.182408062,0.118875578
CTL0378,0.052282695,0.034223234
CTL0379,0.156208183,0.10463097
CTL0380,0.376243859,0.30201567
CTL0381,0.289931028,0.252041865
CTL0382,0.021880428,0.016960957
CTL0383,0.074972403,0.045698212
CTL0384,0.037119263,0.043349861
CTL0385,0.084070613,0.077760823
CTL0386,0.008764501,0.009799426
CTL0387,0.002313617,0.002649273
CTL0388,0.018364691,0.023105003
CTL0389,0.075054638,0.080467915
