Sample,UTD24,TRP24
CTL0194,0.067959648,0.016166613
CTL0195,0.209612433,0.168394179
CTL0196,0.217050681,0.594202522
CTL0197,0.027635848,0.033112778
CTL0198,0.026669798,0.039669642
CTL0199,0.418565293,0.535181763
CTL0200,0.080387677,0.105970703
CTL0201,0.005333084,0.021951884
CTL0202,0.005269884,0.013266965
CTL0203,0.004335956,0.009870436
CTL0204,0.027641204,0.177678531
CTL0205,0.093578757,0.314852265
CTL0206,0.019021296,0.069357975
CTL0207,0.023562642,0.094948898
CTL0208,0.095182276,0.231466533
CTL0209,0.134124904,0.019653623
CTL0210,0.004370909,0.017451613
CTL0211,0.010627836,0.039747002
CTL0212,0.023824162,0.043878903
CTL0213,0.483241451,0.301996223
CTL0214,0.185612114,0.571737196
CTL0215,0.049679888,0.149421638
CTL0216,0.005762983,0.010909305
CTL0217,0.004565218,0.006857122
CTL0218,0.004443564,0.022835436
CTL0219,0.007107423,0.000514464
CTL0220,0.007142311,0.000347393
CTL0221,0.028543221,0.00114041
CTL0222,0.064759475,0.139843176
CTL0223,0.080321969,0.094378662
CTL0224,0.022740414,0.070553548
CTL0225,0.007699033,0.054549855
CTL0226,0.050158817,0.354046086
CTL0227,0.018608672,0.109440104
CTL0228,0.067470421,0.021517052
CTL0231,0.022478907,0.066154973
CTL0231A,9.90389E-05,0.000195238
CTL0231B,0.00010638,0.000206165
CTL0232,0.024183639,0.061229709
CTL0233,0.079869456,0.213508643
CTL0234,0.264191889,0.374295507
CTL0235,0.016771767,0.094076468
CTL0236,0.00304222,0.02518528
CTL0237,0.002284079,0.012042676
CTL0238,0.031306064,0.148505183
CTL0243,0.004576662,0.010420689
CTL0244,0.046824731,0.123170221
CTL0245,0.096397755,0.187374621
CTL0246,0.01869969,0.073322452
CTL0247,0.014706308,0.02815781
CTL0248,0.241028206,0.045378298
CTL0249,0.34160618,0.109029809
CTL0250,0.639648682,0.15384164
CTL0252,0.048102681,0.035915089
CTL0255,0.865741761,0.035311629
CTL0256,1,0.236561545
CTL0257,0.016125783,0.038284789
CTL0258,0.083496839,0.23955045
CTL0259,0.129351901,0.234675167
CTL0260,0.086343369,0.040576977
CTL0261,0.000874132,0.009779074
CTL0262,0.044113934,0.127107004
CTL0263,0.011871794,0.025111827
CTL0264,0.028313603,0.082736553
CTL0265,0.023548577,0.059839532
CTL0266,0.047015585,0.096132947
CTL0267,0.085263661,0.123863477
CTL0268,0.151348817,0.192323411
CTL0269,0.076672913,0.062611609
CTL0270,0.022791434,0.022531657
CTL0271,0.229838803,0.2045483
CTL0272,0.317042196,0.273961231
CTL0273,0.026069671,0.05334997
CTL0274,0.099608817,0.368207086
CTL0275,0.037607485,0.136757532
CTL0276,0.038999463,0.045830099
CTL0277,0.113567647,0.29428527
CTL0278,0.04257036,0.119001527
CTL0279,0.027906379,0.065548007
CTL0280,0.152091408,0.425234294
CTL0281,0.037201239,0.138477186
CTL0282,0.043930734,0.130329771
CTL0283,0.013070301,0.025656957
CTL0284,0.047061698,0.081974701
CTL0285,0.020117145,0.031990615
CTL0286,0.01719571,0.026694756
CTL0287,0.069678066,0.104905599
CTL0288,0.018700369,0.046380278
CTL0289,0.022637296,0.056814192
CTL0290,0.028156128,0.031678503
CTL0291,0.002779624,0.010192981
CTL0292,0.004200571,0.014729425
CTL0293,0.010580892,0.019237394
CTL0294,0.061553298,0.107181503
CTL0295,0.000208167,0.000108705
CTL0296,0.10259543,0.115760826
CTL0297,0.113312698,0.102506598
CTL0298,0.031959837,0.030214779
CTL0299,0.36095648,0.416820426
CTL0300,0.23862964,0.856369105
CTL0301,0.140656976,0.170162486
CTL0302,0.092852376,0.003309404
CTL0303,0.009871094,0.012512923
CTL0304,0.009378095,0.04011444
CTL0305,0.18427962,0.049440039
CTL0306,0.009277796,0.003080139
CTL0307,0.012631015,0.006739212
CTL0308,0.010426509,0.059912812
CTL0309,0.03835857,0.155953713
CTL0310,0.206798137,0.039182375
CTL0311,0.249646157,0.054364541
CTL0312,0.031691802,0.018701818
CTL0313,0.014577083,0.0677072
CTL0314,0.019235881,0.056428546
CTL0315,0.060166732,0.172241164
CTL0316,0.046522091,0.009006014
CTL0317,0.038620204,0.017105176
CTL0318,0.103730892,0.211550296
CTL0319,0.126961702,0.248541413
CTL0320,0.057878512,0.294746688
CTL0321,0.155504537,0.325398509
CTL0322,0.075611607,0.105668809
CTL0323,0.097469127,0.146914844
CTL0324,0.068852613,0.09288698
CTL0325,0.04442908,0.082526628
CTL0326,0.031185657,0.041906442
CTL0327,0.043826768,0.05369089
CTL0328,0.118528222,0.258540266
CTL0329,0.107705865,0.004695094
CTL0330,0.01823636,0.045348874
CTL0331,0.06102364,0.150104224
CTL0332,0.012429939,0.044892418
CTL0333,0.003590562,0.008897728
CTL0334,0.019448589,0.046520065
CTL0335,0.000813744,0.002198537
CTL0336,0.746415816,0.031880166
CTL0337,0.100586319,0.005694475
CTL0338,0.082532378,0.004917848
CTL0338A,0.01960864,0.001136498
CTL0339,0.03434531,0.017520567
CTL0340,0.022575185,0.093872172
CTL0341,0.041195554,0.183862911
CTL0342,0.014724833,0.004033535
CTL0343,0.008637107,0.002066561
CTL0344,0.253314827,0.058527519
CTL0345,0.310931541,0.11219522
CTL0346,0.044136271,0.023588248
CTL0347,0.019774869,0.04673514
CTL0348,0.013755771,0.023648416
CTL0349,0.039222057,0.092903794
CTL0350,0.01570485,0.04210053
CTL0351,0.106600319,0.417389906
CTL0352,0.054572186,0.158823311
CTL0353,0.154916046,0.684710068
CTL0354,0.052914322,0.09526284
CTL0355,0.00821373,0.012474247
CTL0356,0.003713569,0.019073916
CTL0357,0.02301551,0.026574404
CTL0358,0.019573391,0.025679227
CTL0359,0.030343248,0.093982596
CTL0360,0.017336263,0.033132154
CTL0361,0.001577784,0.007573415
CTL0362,0.004996731,0.021877543
CTL0363,0.027920636,0.036058506
CTL0364,0.015702269,0.051536779
CTL0366,0.215201586,0.457625441
CTL0367,0.033686895,0.20195727
CTL0368,0.301883676,0.296767118
CTL0369,0.092396349,0.0643134
CTL0370,0.088600802,0.303295333
CTL0371,0.017005774,0.049394554
CTL0372,0.056511684,0.130526942
CTL0373,0.032773363,0.080363662
CTL0374,0.003222732,0.00125617
CTL0375,0.000334424,0.000337871
CTL0376,0.028589018,0.059385498
CTL0377,0.070399568,0.118875578
CTL0378,0.01583455,0.034223234
CTL0379,0.051788204,0.10463097
CTL0380,0.092867596,0.30201567
CTL0381,0.071576801,0.252041865
CTL0382,0.00750642,0.016960957
CTL0383,0.032579361,0.045698212
CTL0384,0.011284351,0.043349861
CTL0385,0.038020174,0.077760823
CTL0386,0.055536183,0.009799426
CTL0387,0.008493105,0.002649273
CTL0388,0.012973435,0.023105003
CTL0389,0.014015299,0.080467915
CTL0390,0.020681814,0.094195127
CTL0391,0.051959172,0.108306969
CTL0392,0.019771688,0.035842706
CTL0393,0.029304423,0.037604817
CTL0394,0.007800981,0.040884863
CTL0395,0.024441176,0.037692831
CTL0396,0.031937655,0.059041867
CTL0397,0.499345544,0.0567032
